"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"43",2785791.21337572,2862451.2662864,2989851.40164237,2699026.62285424,2583846.30553218,3083088.20159775,2781319.34127073,2963812.54867311,2564344.70382511,2677347.45005682,2781464.71032688,3153634.23175474,2963443.16896615,2899536.25482115,2886799.95910388,2837374.25080925,3000657.06836295,3247236.08798053,2784042.28582309,3565545.24304655,2714706.40354646,2907956.24630725,3473269.6350314,3070915.6276297,2965629.98291044
"44",2691268.49283499,2766358.08121311,2901371.84620934,2602856.94863469,2493014.67091917,2991921.23099009,2690081.36559123,2869511.47005787,2478666.75391117,2582943.31253767,2688155.1955976,3061164.5943681,2869379.96673125,2794100.32023641,2784858.63932534,2738333.8480684,2911451.91425969,3161762.30175836,2690353.7181268,3481369.82586348,2617762.82408598,2813105.79388719,3382959.20895294,2980881.00716684,2862684.10630153
"45",2597719.93718085,2670813.17787543,2813767.11471234,2510799.58817212,2405137.58537556,2901244.44675948,2600406.25962301,2776652.02491925,2394159.48729162,2489001.49343617,2597632.47965145,2969741.22045662,2774924.18533921,2692048.27112143,2686566.99946139,2638937.77841763,2818995.71935398,3073500.50736394,2595191.03051655,3398155.42924872,2523062.50605553,2718432.60859488,3294213.19984546,2890123.88753031,2764588.23587743
"46",2613317.51449989,2687013.91442998,2834244.41226728,2522478.34750699,2415455.50789845,2922801.05847134,2614875.06776281,2793453.77544082,2405803.56137396,2501554.21226095,2612530.7278423,2991350.65488957,2793160.78386103,2706823.24804134,2699646.29701035,2652926.06444823,2837512.28238523,3098673.44132246,2610532.85871798,3429848.04348567,2535992.45190942,2734933.49232159,3322138.29897137,2910324.97074977,2780234.17365083
"47",2532981.91394006,2609001.85989953,2760019.46810364,2446422.16692309,2344106.02853074,2849823.02999701,2540747.99266427,2717660.43758753,2336925.72432635,2426855.00772109,2536608.98081572,2917380.54719545,2715728.14952706,2623996.27725711,2622034.94112557,2573415.48308643,2760998.49325255,3027280.75326903,2532243.30529337,3359538.43558661,2457865.57967223,2656896.85865641,3249156.91261935,2832883.40244097,2700989.7682414
"48",2518026.62243011,2595619.55074566,2753561.53835953,2433429.29835032,2330693.47285108,2844316.89410256,2526741.852181,2708337.76736524,2323776.12960108,2409617.51659906,2523950.04128178,2914457.67050271,2706178.8640515,2607272.13228684,2610106.29545431,2556267.95087861,2750729.08141425,3032127.78572024,2514620.48179582,3374482.77036083,2441872.71828169,2645323.46763709,3262733.28576413,2825675.90961549,2691649.80659045
"49",2475457.10820807,2554120.86239281,2715182.78596511,2389374.46405714,2289644.66683896,2804980.47084696,2485499.31920137,2668245.18571075,2285965.97526929,2367866.68189001,2480578.43010221,2876127.65349849,2668161.25052518,2562348.15351928,2563745.13776424,2515250.96531314,2711459.36019025,2999627.65394239,2471314.80572953,3342576.63088594,2399296.35822621,2607664.26444209,3225842.26053867,2787229.88213917,2645293.76690633
"50",2517093.94144832,2599249.30400565,2760190.19762018,2429704.9870701,2328144.31806645,2851495.45665598,2525291.8777572,2712767.59054566,2324179.76457816,2409054.2404165,2520956.45383204,2923231.78641459,2716451.82769425,2611330.08781358,2608656.63801572,2562064.51491658,2759888.12429219,3046851.10156242,2514458.62178579,3393461.03980084,2440631.50103993,2652671.48667899,3276822.44538305,2834835.90732257,2693085.06198429
"51",2495772.75866183,2579416.56555252,2739593.43192991,2409673.93516441,2306620.82229091,2835638.20496616,2504010.51052512,2695936.39222615,2302654.91762683,2393334.88989255,2498225.58026974,2908126.59996106,2701132.95425156,2598551.53648307,2592319.5257919,2545741.64107728,2742375.17174628,3030990.17540779,2496349.13566479,3381060.06359795,2421648.70454966,2633658.73672534,3266297.72277751,2816507.9448554,2679595.58138345
"52",2465250.72595017,2549269.40639343,2712112.78228849,2381786.05098541,2279472.49653145,2809875.30069561,2475465.33074498,2668086.30634298,2275450.73242665,2364857.98419865,2470224.90802088,2881857.08099062,2668600.15594317,2567106.24631305,2565286.72221939,2510624.23804675,2711405.4102902,3004324.97338184,2462832.94503167,3361046.63580605,2391892.5032563,2602250.75661663,3246325.59684194,2787567.51519974,2654933.62731321
"53",2368282.93190924,2451734.44273058,2618416.87450918,2287883.92204474,2190576.58694506,2715372.41104751,2382996.146291,2573645.43974607,2189005.16288563,2271486.56199981,2375864.46475177,2787466.97736815,2571697.88638773,2463249.53065073,2466109.30403634,2411509.11780242,2615857.42900436,2911914.94794745,2367401.59427459,3267811.91257994,2295864.48772776,2504937.50781186,3151547.94558885,2690436.16629723,2555784.67139145
"54",2339166.45454677,2422594.95251727,2590302.08234295,2259993.54683848,2162910.53881914,2687903.74670369,2355089.57035747,2546821.03990724,2161951.30909885,2244606.51075736,2346873.40771894,2761294.25831377,2545839.10357038,2433516.70752895,2437335.39548744,2382644.24859331,2589402.67646316,2887425.35316107,2337730.08053031,3243165.53853707,2268389.97396914,2476552.11721011,3127706.20800925,2663014.08875556,2527992.45356518
"55",2340523.39883905,2426662.75544025,2598790.68497257,2256818.60083318,2160365.47579647,2697002.70992388,2357895.40021755,2554231.57236884,2164702.39422549,2248061.50363128,2346434.14578123,2772224.11165584,2556154.53493162,2436627.89810243,2433659.62510818,2386813.76670759,2600509.12948146,2905014.24292807,2344112.8157904,3262152.70133157,2270413.66731025,2485603.42356051,3143607.77372105,2673811.15799964,2527240.60466031
"56",2291264.17837023,2376446.0774079,2551150.37776255,2206786.28909866,2114055.81103462,2649373.97581601,2310170.83399359,2503960.83313168,2120379.48495206,2199804.51404786,2297807.2933599,2724142.2197742,2505078.74890319,2381853.13448636,2380301.72489033,2334123.58004008,2552351.86311554,2861316.59904483,2295801.59517592,3219971.21514442,2220178.35171831,2435835.13267009,3096732.07117341,2626169.71058678,2472936.28615049
"57",2205685.44068211,2290618.70854538,2465976.31823571,2127189.46814444,2036643.22579362,2564738.75964891,2230512.17522499,2419738.54251194,2042617.6881524,2119180.88238967,2216992.21912192,2639111.87789374,2413228.81652619,2292115.41928951,2296575.45520819,2241309.24678782,2465262.85846466,2777794.79831167,2204424.69665114,3135663.11166926,2138045.95425817,2349439.15751896,3012977.9859744,2539296.02440136,2387494.89660174
"58",2194623.47935801,2284137.86703762,2450416.06118294,2121926.69562643,2026396.82505635,2558237.94783116,2221095.71434685,2410807.54793437,2029079.65496983,2115060.65386986,2208416.44559192,2633512.16239296,2397030.81899994,2295593.80935898,2303735.00734338,2229269.15398493,2448543.56242171,2767362.40667411,2189078.29794574,3129509.09796826,2132161.94185205,2339662.89113646,3016670.1290234,2525164.30808287,2395367.89824132
